id,warId,year,yearAU,relativeYear,label,locationLabel,latitude,longitude,stoaId,currentCountry,outcome,civil,naval,siege,sack,final,period,,Missing
170,,66,819,98,Battle of Beth-Horon,Beth-Horon,,,-,,L,,,,,,E,,
171,,69,822,101,First Battle of Bedriacum,Bedriacum,45.129535,10.442348,383584,,C,y,,,,,E,,
172,,69,822,101,Second Battle of Bedriacum,Bedriacum,45.129535,10.442348,383584,,C,y,,,,,E,,
173,,69,822,101,Battle of Forum Julii,Forum Julii,43.43299,6.736984,-,,C,y,,,,,E,,
174,,71,824,103,Battle of Scotch Corner,Scotch Corner,,,-,,W,,,,,,E,,
175,,73,826,105,Siege of Masada,Masada,31.31625824,35.35368434,687968,,W,,,y,,,E,,
176,,83,836,115,Battle of Mons Graupius,Mons Graupius,56.735567,-3.090308857,92147,,W,,,,,,E,,
177,,87,840,119,First Battle of Tapae,Tapae,45.5056,22.7247,211464,,L,,,,,,E,,
178,,101,854,133,Second Battle of Tapae,Tapae,45.5056,22.7247,211464,,W,,,,,,E,,
179,,102,855,134,Battle of Adamclisi,Adamclisi,44.09282595,27.9429605,217027,,W,,,,,,E,,
180,,106,859,138,Battle of Sarmisegetusa,Sarmisegetusa,45.669615,23.323961,207425,,W,,,,,,E,,
181,,170,923,202,Battle of Carnuntum,Carnuntum,48.113346,16.867891,128376,,L,,,,,,E,,
182,,179,932,211,Battle of Laugaricio,Laugaricio,48.893052,18.038558,128442,,W,,,,,,E,,
183,,193,946,225,Battle of Cyzicus,Cyzicus,40.3855645,27.883191,511218,,C,y,,,,,E,,
184,,193,946,225,Battle of Nicaea,Nicaea,40.42909367,29.71468167,511268,,C,y,,,,,E,,
185,,194,947,226,Battle of Issus,Issus,36.8402925,36.1950485,658490,,C,y,,,,,E,,
186,,197,950,229,Battle of Lugdunum,Lugdunum,45.758866,4.8194815,167717,,C,y,,,,,E,,
187,,198,951,230,Battle of Ctesiphon,Ctesiphon,33.094703,44.58122267,893976,,W,,,y,,,E,,
188,,217,970,249,Battle of Nisibis,Nisibis,37.06751167,41.21544667,874623,,L,,,,,,E,,
189,,218,971,250,Battle of Antioch,Antioch,36.2055,36.171806,-,,C,y,,,,,E,,
190,,235,988,267,Battle at the Harzhorn,Harzhorn,,,-,,W,,,,,,E,,
191,,238,991,270,Battle of Carthage,Carthage,36.8500325,10.318,314921,,C,y,,,,,E,,
192,,243,996,275,Battle of Resaena,Resaena,32.083333,34.95,,,W,,,,,,E,,
193,,250,1003,282,Battle of Philippopolis,Philippopolis,42.145589,24.749474,216927,,L,,,y,,,E,,
194,,251,1004,283,Battle of Abrittus,Abrittus,,,-,,L,,,,,,E,,
195,,259,1012,291,Battle of Mediolanum,Mediolanum,45.463746,9.18806,383706,,W,,,,,,E,,
196,,260,1013,292,Battle of Edessa,Edessa,37.9122455,40.2334445,874298,,L,,,,,,E,,
197,,268,1021,300,Battle of Naissus,Naissus,43.316295,21.893884,207303,,W,,,,,,E,,
198,,269,1022,301,Battle of Lake Benacus,Lake Benacus,45.63003951,10.68428684,383587,,W,,,,,,E,,
199,,271,1024,303,Battle of Fano,Fano,43.844902,13.016921,413129,,W,,,,,,E,,
200,,271,1024,303,Battle of Pavia,Pavia,45.185899,9.156562,383798,,W,,,,,,E,,
201,,271,1024,303,Battle of Placentia,Placentia,45.0525855,9.6976645,383741,,L,,,,,,E,,
202,,272,1025,304,Battle of Emesa,Emesa,34.7376565,36.719319,668261,,W,,,,,,E,,
203,,272,1025,304,Battle of Immae,Immae,,,-,,W,,,,,,E,,
204,,274,1027,306,Battle of Châlons,Châlons,48.9575,4.365,-,,C,y,,,,,E,,
205,,285,1038,317,Battle of the Margus,Margus,44.7183621,21.0386919,207268,,C,y,,,,,E,,
206,,296,1049,328,Battle of Carrhae,Carrhae,36.8655215,39.0301785,658427,,L,,,,,,E,,
207,,298,1051,330,Battle of Lingones,Lingones,47.864221,5.335214,177564,,W,,,,,,E,,
208,,298,1051,330,Battle of Satala,Satala,40.027787,39.597934,874684,,W,,,,,,E,,
